,med_inc,county,time,state,fips_county
0,67565,Autauga County,2020,1,001
1,71135,Baldwin County,2020,1,003
2,38866,Barbour County,2020,1,005
3,50907,Bibb County,2020,1,007
4,55203,Blount County,2020,1,009
5,33124,Bullock County,2020,1,011
6,42268,Butler County,2020,1,013
7,50259,Calhoun County,2020,1,015
8,39318,Chambers County,2020,1,017
9,50388,Cherokee County,2020,1,019
10,52693,Chilton County,2020,1,021
11,41649,Choctaw County,2020,1,023
12,44178,Clarke County,2020,1,025
13,44763,Clay County,2020,1,027
14,50134,Cleburne County,2020,1,029
15,54203,Coffee County,2020,1,031
16,54185,Colbert County,2020,1,033
17,34664,Conecuh County,2020,1,035
18,46509,Coosa County,2020,1,037
19,43544,Covington County,2020,1,039
20,45927,Crenshaw County,2020,1,041
21,51844,Cullman County,2020,1,043
22,48493,Dale County,2020,1,045
23,37679,Dallas County,2020,1,047
24,47156,DeKalb County,2020,1,049
25,62524,Elmore County,2020,1,051
26,41212,Escambia County,2020,1,053
27,47872,Etowah County,2020,1,055
28,45937,Fayette County,2020,1,057
29,40448,Franklin County,2020,1,059
30,39882,Geneva County,2020,1,061
31,33609,Greene County,2020,1,063
32,41836,Hale County,2020,1,065
33,51126,Henry County,2020,1,067
34,54391,Houston County,2020,1,069
35,46606,Jackson County,2020,1,071
36,57802,Jefferson County,2020,1,073
37,40204,Lamar County,2020,1,075
38,52293,Lauderdale County,2020,1,077
39,48924,Lawrence County,2020,1,079
40,58963,Lee County,2020,1,081
41,70850,Limestone County,2020,1,083
42,37499,Lowndes County,2020,1,085
43,37736,Macon County,2020,1,087
44,67810,Madison County,2020,1,089
45,43198,Marengo County,2020,1,091
46,44333,Marion County,2020,1,093
47,51417,Marshall County,2020,1,095
48,50871,Mobile County,2020,1,097
49,38812,Monroe County,2020,1,099
50,49607,Montgomery County,2020,1,101
51,55688,Morgan County,2020,1,103
52,33712,Perry County,2020,1,105
53,41870,Pickens County,2020,1,107
54,43141,Pike County,2020,1,109
