longitude,latitude,park_name
-154.88689,58.58305,Katmai National Park
-116.0089,33.9529,Joshua Tree National Park
-88.8917,47.9624,Isle Royale National Park
-93.0221,34.3796,Hot Springs National Park
-155.3,19.4,Hawaii Volcanoes National Park
-156.21039,20.71063,Haleakala National Park
-104.8835,31.812,Guadalupe Mountains National Park
-83.5469,35.6536,Great Smoky Mountains National Park
-105.55861,37.75444,Great Sand Dunes National Park
-114.1513,38.868,Great Basin National Park
-110.3824,43.9052,Grand Teton National Park
-112.11762,36.06502,Grand Canyon - South Rim National Park
-113.1975,36.1632,Grand Canyon - North Rim National Park
-135.75584,58.41543,Glacier Bay National Park
-113.8672,48.616,Glacier National Park
-153.2713,67.64657,Gates of the Arctic National Park
-80.8934,25.4028,Everglades National Park
-81.7862,24.6384,Dry Tortugas National Park
-149.27258,63.62165,Denali National Park
-116.4117,36.3027,Death Valley National Park
-81.55701,41.20906,Cuyahoga Valley National Park
-122.0824,42.9173,Crater Lake National Park
-80.78333,33.78333,Congaree National Park
-119.7425,34.0394,Channel Islands National Park
-104.4094,32.1648,Carlsbad Caverns National Park
-111.144,37.986,Capitol Reef National Park
-109.966,38.0252,Canyonlands National Park
-112.1967,37.5548,Bryce Canyon National Park
-107.7208,38.58167,Black Canyon of the Gunnison National Park
-80.2619,25.442,Biscayne National Park
-103.2432,29.3816,Big Bend National Park
-102.4343,43.6504,Badlands National Park
-109.565,38.77,Arches National Park
-68.0493,44.454,Acadia National Park
-150.08632,59.85136,Kenai Fjords National Park
-118.3574,36.8481,Kings Canyon National Park
-159.13696,67.34409,Kobuk Valley National Park
-154.32394,60.19943,Lake Clark National Park
-121.4461,40.4579,Lassen Volcanic National Park
-86.1839,37.104,Mammoth Cave National Park
-108.3871,37.1824,Mesa Verde National Park
-121.4762,46.7981,Mount Rainier National Park
-121.0219,48.4004,North Cascades National Park
-123.5455,47.6948,Olympic National Park
-109.7964,34.8892,Petrified Forest National Park
-123.9452,41.4771,Redwood National Park
-105.8307,40.3576,Rocky Mountain National Park
-111.1309,32.2432,Saguaro National Park
-118.552,36.5231,Sequoia National Park
-78.7041,38.2604,Shenandoah National Park
-103.2491,47.3352,Theodore Roosevelt National Park
-93.0169,48.0996,Voyageurs National Park
-102.8731,43.4348,Wind Cave National Park
-143.2166,61.24284,Wrangell-St. Elias National Park
-110.355,44.5716,Yellowstone National Park
-119.6195,37.8231,Yosemite National Park
-112.9735,37.3,Zion National Park
