,Unnamed: 0,state_abbrev,med_inc,pov_rate,pov_count,county,time,state,fips_county,County Code
0,0,AL,67565.0,11.2,6242.0,001,2020,01,001,01001
1,1,AL,71135.0,8.9,20189.0,001,2020,01,003,01003
2,2,AL,38866.0,25.5,5548.0,001,2020,01,005,01005
3,3,AL,50907.0,17.8,3549.0,001,2020,01,007,01007
4,4,AL,55203.0,13.1,7525.0,001,2020,01,009,01009
5,5,AL,33124.0,30.8,2552.0,001,2020,01,011,01011
6,6,AL,42268.0,20.6,3954.0,001,2020,01,013,01013
7,7,AL,50259.0,14.5,15915.0,001,2020,01,015,01015
8,8,AL,39318.0,16.3,5266.0,001,2020,01,017,01017
9,9,AL,50388.0,14.7,3827.0,001,2020,01,019,01019
10,10,AL,52693.0,13.9,6094.0,001,2020,01,021,01021
11,11,AL,41649.0,20.4,2506.0,001,2020,01,023,01023
12,12,AL,44178.0,19.5,4471.0,001,2020,01,025,01025
13,13,AL,44763.0,14.2,1818.0,001,2020,01,027,01027
14,14,AL,50134.0,14.2,2099.0,001,2020,01,029,01029
15,15,AL,54203.0,13.9,7303.0,001,2020,01,031,01031
16,16,AL,54185.0,14.4,7864.0,001,2020,01,033,01033
17,17,AL,34664.0,22.9,2701.0,001,2020,01,035,01035
18,18,AL,46509.0,17.4,1808.0,001,2020,01,037,01037
19,19,AL,43544.0,17.1,6219.0,001,2020,01,039,01039
20,20,AL,45927.0,16.8,2262.0,001,2020,01,041,01041
21,21,AL,51844.0,12.5,10381.0,001,2020,01,043,01043
22,22,AL,48493.0,15.5,7440.0,001,2020,01,045,01045
23,23,AL,37679.0,26.7,9471.0,001,2020,01,047,01047
24,24,AL,47156.0,15.2,10778.0,001,2020,01,049,01049
25,25,AL,62524.0,11.5,8972.0,001,2020,01,051,01051
26,26,AL,41212.0,20.4,6892.0,001,2020,01,053,01053
27,27,AL,47872.0,15.6,15650.0,001,2020,01,055,01055
28,28,AL,45937.0,16.5,2640.0,001,2020,01,057,01057
29,29,AL,40448.0,17.2,5357.0,001,2020,01,059,01059
30,30,AL,39882.0,21.0,5492.0,001,2020,01,061,01061
31,31,AL,33609.0,27.9,2210.0,001,2020,01,063,01063
32,32,AL,41836.0,21.9,3166.0,001,2020,01,065,01065
33,33,AL,51126.0,16.2,2743.0,001,2020,01,067,01067
34,34,AL,54391.0,14.8,15534.0,001,2020,01,069,01069
