,state_abbrev,med_inc,pov_rate,pov_count,county,time,state,fips_county
0,AL,67565.0,11.2,6242.0,Autauga County,2020,1,001
1,AL,71135.0,8.9,20189.0,Baldwin County,2020,1,003
2,AL,38866.0,25.5,5548.0,Barbour County,2020,1,005
3,AL,50907.0,17.8,3549.0,Bibb County,2020,1,007
4,AL,55203.0,13.1,7525.0,Blount County,2020,1,009
5,AL,33124.0,30.8,2552.0,Bullock County,2020,1,011
6,AL,42268.0,20.6,3954.0,Butler County,2020,1,013
7,AL,50259.0,14.5,15915.0,Calhoun County,2020,1,015
8,AL,39318.0,16.3,5266.0,Chambers County,2020,1,017
9,AL,50388.0,14.7,3827.0,Cherokee County,2020,1,019
10,AL,52693.0,13.9,6094.0,Chilton County,2020,1,021
11,AL,41649.0,20.4,2506.0,Choctaw County,2020,1,023
12,AL,44178.0,19.5,4471.0,Clarke County,2020,1,025
13,AL,44763.0,14.2,1818.0,Clay County,2020,1,027
14,AL,50134.0,14.2,2099.0,Cleburne County,2020,1,029
15,AL,54203.0,13.9,7303.0,Coffee County,2020,1,031
16,AL,54185.0,14.4,7864.0,Colbert County,2020,1,033
17,AL,34664.0,22.9,2701.0,Conecuh County,2020,1,035
18,AL,46509.0,17.4,1808.0,Coosa County,2020,1,037
19,AL,43544.0,17.1,6219.0,Covington County,2020,1,039
20,AL,45927.0,16.8,2262.0,Crenshaw County,2020,1,041
21,AL,51844.0,12.5,10381.0,Cullman County,2020,1,043
22,AL,48493.0,15.5,7440.0,Dale County,2020,1,045
23,AL,37679.0,26.7,9471.0,Dallas County,2020,1,047
24,AL,47156.0,15.2,10778.0,DeKalb County,2020,1,049
25,AL,62524.0,11.5,8972.0,Elmore County,2020,1,051
26,AL,41212.0,20.4,6892.0,Escambia County,2020,1,053
27,AL,47872.0,15.6,15650.0,Etowah County,2020,1,055
28,AL,45937.0,16.5,2640.0,Fayette County,2020,1,057
29,AL,40448.0,17.2,5357.0,Franklin County,2020,1,059
30,AL,39882.0,21.0,5492.0,Geneva County,2020,1,061
31,AL,33609.0,27.9,2210.0,Greene County,2020,1,063
32,AL,41836.0,21.9,3166.0,Hale County,2020,1,065
33,AL,51126.0,16.2,2743.0,Henry County,2020,1,067
34,AL,54391.0,14.8,15534.0,Houston County,2020,1,069
35,AL,46606.0,15.3,7777.0,Jackson County,2020,1,071
36,AL,57802.0,14.4,92310.0,Jefferson County,2020,1,073
37,AL,40204.0,17.4,2348.0,Lamar County,2020,1,075
38,AL,52293.0,13.9,12630.0,Lauderdale County,2020,1,077
39,AL,48924.0,15.4,5005.0,Lawrence County,2020,1,079
40,AL,58963.0,17.9,28901.0,Lee County,2020,1,081
41,AL,70850.0,10.4,10285.0,Limestone County,2020,1,083
42,AL,37499.0,21.9,2083.0,Lowndes County,2020,1,085
43,AL,37736.0,27.9,4543.0,Macon County,2020,1,087
44,AL,67810.0,10.5,39100.0,Madison County,2020,1,089
45,AL,43198.0,18.3,3370.0,Marengo County,2020,1,091
46,AL,44333.0,16.8,4843.0,Marion County,2020,1,093
47,AL,51417.0,15.4,14754.0,Marshall County,2020,1,095
48,AL,50871.0,17.6,71398.0,Mobile County,2020,1,097
49,AL,38812.0,22.5,4552.0,Monroe County,2020,1,099
50,AL,49607.0,20.4,44058.0,Montgomery County,2020,1,101
51,AL,55688.0,14.4,16995.0,Morgan County,2020,1,103
52,AL,33712.0,30.7,2443.0,Perry County,2020,1,105
53,AL,41870.0,22.7,4050.0,Pickens County,2020,1,107
54,AL,43141.0,19.7,6101.0,Pike County,2020,1,109
55,AL,46679.0,17.5,3933.0,Randolph County,2020,1,111
56,AL,40821.0,20.3,11702.0,Russell County,2020,1,113
57,AL,61973.0,10.5,9384.0,St. Clair County,2020,1,115
58,AL,88444.0,7.0,15227.0,Shelby County,2020,1,117
59,AL,32275.0,29.2,3338.0,Sumter County,2020,1,119
60,AL,44802.0,16.9,12958.0,Talladega County,2020,1,121
61,AL,46654.0,15.2,6004.0,Tallapoosa County,2020,1,123
62,AL,56610.0,14.4,28776.0,Tuscaloosa County,2020,1,125
63,AL,46519.0,16.4,10219.0,Walker County,2020,1,127
64,AL,36346.0,17.5,2769.0,Washington County,2020,1,129
65,AL,31909.0,22.2,2240.0,Wilcox County,2020,1,131
66,AL,46453.0,17.4,4036.0,Winston County,2020,1,133
67,AK,79128.0,15.1,514.0,Aleutians East Borough,2020,2,013
68,AK,92216.0,8.1,443.0,Aleutians West Census Area,2020,2,016
69,AK,84577.0,8.3,23200.0,Anchorage Borough,2020,2,020
70,AK,52214.0,25.3,4567.0,Bethel Census Area,2020,2,050
71,AK,87032.0,10.7,82.0,Bristol Bay Borough,2020,2,060
72,AK,84063.0,7.0,441.0,Chugach Census Area,2020,2,063
73,AK,61215.0,12.7,368.0,Copper River Census Area,2020,2,066
74,AK,80192.0,6.4,127.0,Denali Borough,2020,2,068
75,AK,72334.0,18.7,894.0,Dillingham Census Area,2020,2,070
76,AK,76650.0,7.2,6565.0,Fairbanks North Star Borough,2020,2,090
77,AK,105044.0,9.6,251.0,Haines Borough,2020,2,100
